,Song,Artist,Billboard100,URI
137,tik tok,kesha,0,0HPD5WQqrq7wPWR7P7Dw1i
138,look at me now,chris brown,0,3hsmbFKT5Cujb5GQjqEU39
161,oops!...i did it again,britney spears,0,6naxalmIoLFWR0siv8dnQQ
163,get lucky (feat. pharrell williams & nile rodgers) - radio edit,daft punk,0,2Foc5Q5nqNiosCNqttzHof
165,"one, two step",ciara,0,7uKcScNXuO3MWw6LowBjW1
181,dirrty (feat. redman),christina aguilera,0,59ZTxQo8rBycIXPLUIKvE2
186,"independent women, pt. 1",destiny's child,0,0
188,get the party started,p!nk,0,0
189,the anthem,good charlotte,0,0BRHnOFm6sjxN1i9LJrUDu
191,the way you move (feat. sleepy brown) - club mix,outkast,0,0
193,over you,daughtry,0,7mXmxXLAnsvXKt4Q37KoMI
197,vivir mi vida,marc anthony,0,3QHMxEOAGD51PDlbFPHLyJ
198,la vida es un carnaval,celia cruz,0,1BwrMGGhPA6GarWIYaFrW8
199,lambada - original version 1989,kaoma,0,6xepovPqjvrkEw9Y5AMmTm
200,la camisa negra,juanes,0,2EM9zpAc7PVeoAydmbfVIL
201,la gota fría,carlos vives,0,5ZaTqcL7zIreaVNeVy89Iu
202,suavemente,elvis crespo,0,1YwPNemawMgGe6sF4U0FTE
203,bailando - spanish version,enrique iglesias,0,32lm3769IRfcnrQV11LO4E
204,danza kuduro,don omar,0,2a1o6ZejUi8U3wzzOtCOYw
205,conga,miami sound machine,0,3FdHgoJbH3DXNtGLh56pFu
206,la bilirrubina - en vivo estadio olímpico de república dominicana/2012,juan luis guerra 4.40,0,1GT0Q2ZTeKtIBueYKr4vhr
207,guantanamera,celia cruz,0,7arYtARCpVmLPsB8Chua4A
208,el matador,los fabulosos cadillacs,0,4S0p4Z0KuVUWm2bxKoGPRJ
209,amor prohibido,selena,0,1kCewNSs909Xj1naXr36X8
211,obsesion,aventura,0,65H6t1WQBim6q93yM8fEwn
212,let's get loud,jennifer lopez,0,42nSaPdT6g3ZIMHmKLlP2p
213,oye como va,tito puente,0,5eMg0Q1M1rO5BKAgJUmrdr
214,despacito (featuring daddy yankee),luis fonsi,0,0
215,bamboleo,gipsy kings,0,4EveU9Zb50mjgi5avDNqlK
216,pedro navaja,rubén blades,0,3TfU1HNQzBR7Btx73qm29W
217,gasolina,daddy yankee,0,6jEZLz3YpnEBRpVkv35AmP
218,mambo no 5,pérez prado,0,6fJnlY8rYqC37J2u2OeEMf
219,de música ligera,soda stereo,0,2WD9ggmpZE7Wodh3qVVCgg
221,la bamba,los lobos,0,6uU5OBhGUE1ngSKDj4wtoq
222,querida,juan gabriel,0,7osHjFGYUmIMB6eAiU9HDs
223,maria maria - radio mix,santana,0,0
224,la ingrata,café tacvba,0,19ScoKGqnfUggyqOVQjsoH
225,corazón partio,alejandro sanz,0,0
227,rebelión,joe arroyo,0,3v32VtMTRZbIQJUFsQpeJD
228,la maza,silvio rodríguez,0,2a1x7Ln27cNtsgtL26mdwi
229,amor eterno,rocío dúrcal,0,3K3wpXrbZYkXMxiA9QJwV1
230,besame mucho,consuelo velázquez,0,5Vt9jqpVuWm30gUvunICh3
231,mais que nada,sergio mendes & brasil '66,0,6YTBfxkdGce9pLEy9jG9Jo
232,el cantante,héctor lavoe,0,5Uve0jm1RgxKWzdSvncBDO
233,chan chan,buena vista social club,0,5sbw5zIz9ck2pOEDXUR0QU
234,amigo,roberto carlos,0,4CKIoO64EM5M37TkshbaQE
235,the girl from ipanema - stereo version,stan getz,0,5D9Psd43c2cidUu6RdkCu2
236,oye mi amor,maná,0,5EJ2THuhAapEIeQOtXUQ0x
237,latinoamérica,calle 13,0,1xuYajTJZh8zZrPRmUaagf
238,"soy un truhán, soy un señor",julio iglesias,0,07nrFSbS6ht0jMNpTpMfsg
239,mediterraneo,joan manuel serrat,0,7Bewui7KtaMzROeteRitRz
240,gracias a la vida,violeta parra,0,5U7MyRNbuZrWkyAI4bm3Ja
241,la cumparsita,gerardo matos rodriguez,0,6tJ0zwyKkJ9pWXN0XWqLqY
242,paloma negra,lola beltrán,0,7cOZAzuSGF7y4pNX35B7yq
243,el rey,josé alfredo jimenez,0,4ihZFukyNotzCUtxI4qpu8
244,feliz navidad,josé feliciano,0,0oPdaY4dXtc3ZsaG17V972
245,all along the watchtower,jimi hendrix,0,2aoo2jlRnM3A0NyLQqMN2f
246,my generation - stereo version,the who,0,4u9f8hqstB7iITDJNzKhQx
247,(i can't get no) satisfaction,the rolling stones,0,2PzU4IB8Dr6mxV3lHuaG34
248,"hello, i love you",the doors,0,3bWGaqVeYKMlLss40mPgNn
249,whole lotta love,led zeppelin,0,0hCB0YR03f6AmQaHbwWDe8
250,hey jude - remastered 2015,the beatles,0,0aym2LBJBk9DAYuHHutrIl
251,white room,cream,0,3Xls4cNOwy01dtrNXb1inG
252,you really got me - mono mix,the kinks,0,29SyMC0plk6qw8NMF7lfRL
253,surfin' u.s.a. - remastered,the beach boys,0,0wz1LjDb9ZNEYwOmDJ3Q4b
254,"oh, pretty woman",roy orbison,0,48i055G1OT5KxGGftwFxWy
255,back in the u.s.s.r. - 2018 mix,the beatles,0,183Klch3PBWLz2S6zNUVxR
256,for what it's worth,buffalo springfield,0,1qRA5BS78u3gME0loMl9AA
257,fortunate son,creedence clearwater revival,0,4BP3uh0hFLFRb5cjsgLqDh
258,born to be wild - single version,steppenwolf,0,3lN8PP6R2IxbLP05QpYXng
259,house of the rising sun,the animals,0,7BY005dacJkbO6EPiOh2wb
260,louie louie,the kingsmen,0,0iA3xXSkSCiJywKyo1UKjQ
261,i heard it through the grapevine - single version (mono),marvin gaye,0,0
262,crimson and clover - single version,tommy james & the shondells,0,1vXuYPpkLjn1v06E2EsWQY
263,evil ways,santana,0,5tmrnhMxx39jnu3kjopMdP
264,purple haze,jimi hendrix,0,0wJoRiX5K5BxlqZTolB2LD
265,california dreamin' - single version,the mamas & the papas,0,4s6LhHAV5SEsOV0lC2tjvJ
266,like a rolling stone,bob dylan,0,3AhXZa8sUQht0UEdBJgpGc
267,suite: judy blue eyes - remastered,"crosby, stills & nash",0,0
268,turn! turn! turn! (to everything there is a season),the byrds,0,5qBqBdfTEIWJwAS0Jm2F5R
269,i saw her standing there - remastered 2009,the beatles,0,3KiexfmhxHvG5IgAElmTkd
270,light my fire,the doors,0,5uvosCdMlFdTXhoazkTI5R
271,pinball wizard,the who,0,6LbbHFEajG9e4m0G3L47c4
272,the sounds of silence,simon & garfunkel,0,3CepTOU9Y7FezTt0CF3lCw
273,green onions,booker t. & the m.g.'s,0,4fQMGlCawbTkH9yPPZ49kP
274,sweet caroline - single version,neil diamond,0,7waQASGjvaRBw6jyX3gVZ0
275,good lovin' - single version,the young rascals,0,0XnhQGfqfi5CnZXcONJuI5
276,the twist,chubby checker,0,3ohLnESFgYACPMCkoTOzqE
277,sunshine of your love,cream,0,6FRwDxXsvSasw0y2eDArsz
278,hit the road jack,ray charles,0,2tu0NqOnkCXoWnk41kUD5V
279,proud mary,creedence clearwater revival,0,2EZc13S7YRi6bTS3SKteRN
280,dazed and confused,led zeppelin,0,6hu1f1cXSw7OAqhpSQ2zDy
281,summertime blues,blue cheer,0,6iWaf45YIhj0YT8GFGxsw0
282,i want to hold your hand - remastered 2015,the beatles,0,4pbG9SUmWIvsROVLF0zF9s
283,runaround sue,dion,0,1DndHckdH9m5rp6gYP086b
284,all day and all of the night - 2014 remastered version,the kinks,0,4rXSVEYOuJNicjAm3NiYK6
285,river deep - mountain high,ike & tina turner,0,19jo0UT2vqD4pNVfIqTy4R
286,summer in the city - remastered,the lovin' spoonful,0,7AzFID6u1b3zIWbd9pb8Dk
287,jumpin' jack flash - mono / remastered,the rolling stones,0,0
288,foxey lady,jimi hendrix,0,23MrkN7g6Q5U7GLIxNHN1B
289,somebody to love,jefferson airplane,0,4uGIJG1jYFonGc4LGp5uQL
290,time has come today,the chambers brothers,0,5qA1ZrjjVLh1cL9GZOFdNm
291,heart full of soul,the yardbirds,0,0AiuEo7FCxP2y2WTOpLPe5
292,do you believe in magic?,the lovin' spoonful,0,1udKn1oNKYQSQ9OmiIWCMu
293,"paint it, black - mono",the rolling stones,0,1RJeiAIwR9pZBgJA8ndZLL
294,good vibrations - remastered,the beach boys,0,5t9KYe0Fhd5cW6UYT4qP8f
295,psychotic reaction,count five,0,5JcaA4A9ZoXthwEnxOxWvP
296,yesterday - remastered 2009,the beatles,0,3BQHpFgAp4l80e1XslIjNI
297,nights in white satin - single version / mono mix,the moody blues,0,6L5BZEcZmD6RBJnimzlyKr
298,space oddity - 2015 remastered version,david bowie,0,0
299,magic carpet ride,steppenwolf,0,4c4jJJoaiY21t2TyRZgdWS
300,needles and pins - mono,the searchers,0,0zABw1PtGYHsU4VDpDZsra
301,the weight - remastered,the band,0,0P7DoyGrr4Wp9w5TotEtUC
302,bring it on home to me,sam cooke,0,0WVTQp3SOCuMr08jh1jweV
303,bad moon rising,creedence clearwater revival,0,20OFwXhEXf12DzwXmaV7fj
304,crying,roy orbison,0,6eLL7QTdMWdhhG4i3jHDR9
305,revolution - remastered,the beatles,0,3UDmHZcBTQp8Iu8droNtUl
306,shop around,the miracles,0,47IRIQxGDe2Sc6F4pe2FMf
307,i fought the law,the bobby fuller four,0,7lSDCrF11sdTVfjbAQVZE8
308,the times they are a-changin',bob dylan,0,52vA3CYKZqZVdQnzRrdZt6
309,honky tonk women,the rolling stones,0,3fnPv1LRMxENr63afVhaz1
310,the end - remastered,the doors,0,5aHHf6jrqDRb1fcBmue2kn
311,she loves you - mono / remastered,the beatles,0,6nEkxYIEnrbYH7h1hJ8Xn6
313,brown eyed girl,van morrison,0,3yrSvpt2l1xhsV9Em88Pul
314,gimme shelter,the rolling stones,0,6H3kDe7CGoWYBabAeVWGiD
315,touch me,the doors,0,4BVE5tIIpYabZcYCbephNW
316,surf city - remastered 1990 / stereo remix,jan & dean,0,4ZzXPeOfMXk0iKNQGdlzDq
317,white rabbit,jefferson airplane,0,4vpeKl0vMGdAXpZiQB2Dtd
318,green river,creedence clearwater revival,0,11DjZQEZ69EXLo77HVj6yW
319,i get around (mono) - mono,the beach boys,0,0
320,mr. tambourine man,the byrds,0,2HCaIYjkvWSZzaSKUoOh3d
321,with a little help from my friends - remastered 2009,the beatles,0,2RnPATK99oGOZygnD2GTO6
322,hush - 2014 remastered version,deep purple,0,0
323,for your love,the yardbirds,0,5qM925z83TMCtj6h0qooVi
324,street fighting man,the rolling stones,0,7EXgO1bRnEArE58rtrgMWB
325,blowin' in the wind,bob dylan,0,18GiV1BaXzPVYpp9rmOg0E
326,in my room - remastered,the beach boys,0,62fX8EW16l8St2yL8rMer9
327,i'm a man,the spencer davis group,0,1oXq63OUf43LDnNPVtfvX8
328,gloria - stereo version,them,0,1DKyFVzIh1oa1fFnEmTkIl
329,itchycoo park,small faces,0,5H0laZ62yDUPuKvHef8niK
330,wild thing,the troggs,0,7jGzYUZ2Bgg8BDfYlQRfn8
331,care of cell 44,the zombies,0,5QXqz1KDz8Z8DmfQoxWmmy
332,see emily play - 2016 remastered version,pink floyd,0,5JubSv0sa8CKjAslCSH27S
333,alone again or - 2015 remastered version,love,0,1XuccRABkfUVB4FjSVhjL1
334,psychotic reaction - rarities version,count five,0,77oq56JTlEBzAH7KNZHvx1
335,slip inside this house - stereo lp version,the 13th floor elevators,0,4GVRHAwABAV0v63YX9Go0p
336,i had too much to dream (last night),the electric prunes,0,5YgCmkSdGukXqK3fJlX4pQ
337,96 tears,? & the mysterians,0,4PEeZ2U4UfP2Jo8EtIOjus
338,have love will travel,the sonics,0,2uXkW8uJcOIhlbUatEPLPs
339,kick out the jams,mc5,0,5mSZLysuAtdNA21mbOm0sx
340,i hate you,the monks,0,3XrPNRdFbGZESTGPte23dD
341,i wanna be your dog,the stooges,0,672N8DGGTOLCOgWe0koX5g
342,i'm waiting for the man - album version (stereo),the velvet underground,0,7hrJgdNzMHlKxEorMLrPcD
343,eight miles high,the byrds,0,2BGNomqCxEDcXyxf8bg27k
344,wipe out,the surfaris,0,4anUinKv803lyDD1vaSXhU
348,lean on me,bill withers,0,3M8FzayQWtkvOhqMn2V4T2
349,hotel california - remastered,eagles,0,0
350,fast car,tracy chapman,0,2M9ro2krNb7nr7HSprkEgo
351,you're so vain,carly simon,0,2DnJjbjNTV9Nd5NOa1KGba
352,dust in the wind,kansas,0,6zeE5tKyr8Nu882DQhhSQI
353,ooh la la,faces,0,4lJ6YVXQ0jUk5ILu0PSrA4
354,you've got a friend,james taylor,0,69l8nFPu0LWmnoJX7YSVYc
355,redemption song,bob marley & the wailers,0,26PwuMotZqcczKLHi4Htz3
356,crazy love,van morrison,0,2hjAc6x8EoSLhGxRNg8KEw
357,i'm on fire,bruce springsteen,0,3PzsbWSQdLCKDLxn7YZfkM
358,heart of gold,neil young,0,1Q1b8eVkUPGlpSArl8JAVw
359,wildflowers - remastered,dolly parton,0,0
360,"rocket man (i think it's going to be a long, long time)",elton john,0,3gdewACMIVMEWVbyb8O9sY
361,in the air tonight - 2015 remastered,phil collins,0,18AXbzPzBS8Y3AkgSxzJPb
362,wicked game - remastered,chris isaak,0,0
363,hallelujah,leonard cohen,0,7yzbimr8WVyAtBX3Eg6UL9
364,my sweet lord,george harrison,0,0qdQUeKVyevrbKhAo0ibxS
365,a horse with no name,america,0,54eZmuggBFJbV7k248bTTt
366,jolene,dolly parton,0,2SpEHTbUuebeLkgs9QB7Ue
367,let it be - remastered 2009,the beatles,0,7iN1s7xHE4ifF5povM6A48
368,maggie may,rod stewart,0,6rovOdp3HgK1DeAMYDzoA7
369,me and julio down by the schoolyard,paul simon,0,6vxHp3CDNo0afgKGp2yi1E
370,where you lead,carole king,0,0APt4t1Dab58sYmGQ4jgij
371,me and bobby mcgee,janis joplin,0,1IqFh00G2kvvMm8pRMpehA
372,if you could read my mind,gordon lightfoot,0,57ct8jKi6trntXiRV0NnXi
373,pink moon,nick drake,0,16qzGrIMWoxerw2gnW0zuv
374,walkin' back to georgia,jim croce,0,0
375,going to california,led zeppelin,0,70gbuMqwNBE2Y5rkQJE9By
376,"my my, hey hey (out of the blue)",neil young,0,6VltRkmJbCTqgKrTHk4Ulw
377,i walk the line,johnny cash,0,7hxZF4jETnE5Q75rKQnMjE
378,across the universe - remastered 2009,the beatles,0,4dkoqJrP0L8FXftrMZongF
379,wild world,yusuf / cat stevens,0,6Xz7FeyE8HTP90HecgHV57
380,california,joni mitchell,0,5eM6Rrk8rwLpUhrh7Kk5R1
381,"dreams (sessions, roughs & outtakes) - 2004 remastered edition",fleetwood mac,0,0
382,tangled up in blue,bob dylan,0,6Vcwr9tb3ZLO63F8DL8cqu
383,imagine - remastered 2010,john lennon,0,0
384,maybe i’m amazed - remastered 2011,paul mccartney,0,1Qa0Y05al633fG8f9Peytc
386,easy,commodores,0,1JQ6Xm1JrvHfvAqhl5pwaA
387,up where we belong,joe cocker,0,0Co8hKbjUy273NrGliGdWZ
388,life on mars? - 2015 remastered version,david bowie,0,0
389,personal jesus - acoustic version,depeche mode,0,7JbHx1w8yllNESuyp9SYv3
390,wuthering heights,kate bush,0,5YSI1311X8t31PBjkBG4CZ
391,stuck in the middle with you - remastered,stealers wheel,0,4eZw1gC3TAus5bZCKi3l5j
392,just the two of us (feat. bill withers),"grover washington, jr.",0,1ko2lVN0vKGUl9zrU0qSlT
393,(you make me feel like) a natural woman,carole king,0,0LXljhKMUgoLv8tLwZ1hmf
394,cecilia,simon & garfunkel,0,6QhXQOpyYvbpdbyjgAqKdY
395,our house,"crosby, stills, nash & young",0,0
396,and it stoned me,van morrison,0,3n5iUh2Z6P7cnWins22W0F
397,famous blue raincoat,leonard cohen,0,77K5TB5KZmDZCoJCdd1NvE
398,all things must pass,george harrison,0,6QLFNz62dpOgQTloWuUbNh
399,stand by me - remastered,john lennon,0,3ntrdR24dLkKrzSGRv1FlH
401,solsbury hill,peter gabriel,0,1CM1wOqD2AIjt2MWd31LV2
402,boulder to birmingham - remastered,emmylou harris,0,05XNDab0Lhitzqk7tRpOnY
403,something on your mind,karen dalton,0,6Vz2IQv3AYoznh4tjsrRPo
404,you're the inspiration - 2006 remastered version,chicago,0,0
405,ripple,grateful dead,0,1OE5l6sedVcIFELMuxQOPI
406,you are so beautiful,joe cocker,0,1gJOqXpRjz9GeEEwQpcujK
407,blue bayou,linda ronstadt,0,3zxklD2EGecZre9MjEEvIU
408,bohemian rhapsody - remastered 2011,queen,0,7tFiyTwD0nx5a1eklYtX2J
409,stairway to heaven,led zeppelin,0,5CQ30WqJwcep0pYcV4AMNc
410,london calling - remastered,the clash,0,5jzma6gCzYtKB1DbEwFZKH
411,riders on the storm,the doors,0,14XWXWv5FoCbFzLksawpEe
412,rock and roll all nite,kiss,0,6KTv0Z8BmVqM7DPxbGzpVC
413,who are you,the who,0,23IJ5wLRhEZ9DOuia5mPiZ
414,changes - 2015 remastered version,david bowie,0,0
415,who'll stop the rain,creedence clearwater revival,0,3Bh6uInhcVBVvLraGZdkKD
416,wild horses,the rolling stones,0,52dm9op3rbfAkc1LGXgipW
417,dream on,aerosmith,0,5MxNLUsfh7uzROypsoO5qe
418,roxanne - remastered 2003,the police,0,78AgGMIJ0wdL63wBDQCOGA
419,highway to hell,ac/dc,0,0
420,bang a gong (get it on) - remastered version,t. rex,0,0
421,smoke on the water,deep purple,0,5SAUIWdZ04OxYfJFDchC7S
422,black magic woman,santana,0,4YMQXzscifAREG0a7KNGhB
423,message in a bottle - remastered 2003,the police,0,7zmWUnqwvUJypwFm49Zm4K
424,free bird,lynyrd skynyrd,0,5EWPGh7jbTNO2wakv8LjUI
425,cocaine,eric clapton,0,3ykSdTGmYPFl8pDBXer1zG
426,lola - coca cola version,the kinks,0,0UAJH0k4k3slcE83a9UGCe
427,black dog,led zeppelin,0,3qT4bUD1MaWpGrTwcvguhb
428,blitzkrieg bop - 2016 remastered version,ramones,0,0
429,i want you to want me,cheap trick,0,1JkZg3eMQTmTn93E8Yd3UL
430,black diamond,kiss,0,6PmckFG2BhEELc5OM7O7DS
431,blinded by the light,manfred mann's earth band,0,7kNNylJ1kswWbHeRM6UDuE
432,american girl,tom petty and the heartbreakers,0,7MRyJPksH3G2cXHN8UKYzP
433,brain damage,pink floyd,0,05uGBKRCuePsf43Hfm0JwX
434,comfortably numb,pink floyd,0,5HNCy40Ni5BZJFw1TKzRsC
435,born to run,bruce springsteen,0,6hTcuIQa0sxrrByu9wTD7s
436,layla - 40th anniversary version / 2010 remastered,derek & the dominos,0,2kkvB3RNRzwjFdGhaUA0tz
437,just what i needed,the cars,0,4alHo6RGd0D3OUbTPExTHN
438,anarchy in the u.k.,sex pistols,0,3LoDeIbiR12sAznmpNEmKA
439,american pie,don mclean,0,1fDsrQ23eTAVFElUMaf38X
440,aqualung,jethro tull,0,5UuikgHTxSRFRnC0zXx10i
441,won't get fooled again - original album version,the who,0,0cJPLFrlV7TTCyPLupHzcH
442,iron man - remastered version,black sabbath,0,0
443,the boys are back in town,thin lizzy,0,43DeSV93pJPT4lCZaWZ6b1
444,walk this way,aerosmith,0,5SZ6zX4rOrEQferfFC2MfP
445,maggie may - remastered version,rod stewart,0,1r3kj1yMff7ilIsR7hpvUo
446,the joker,steve miller band,0,1bp2IO61zbQrbWNmKKxg3f
447,we will rock you - remastered,queen,0,54flyrjcdnQdco7300avMJ
448,walk on the wild side,lou reed,0,5p3JunprHCxClJjOmcLV8G
450,american woman - remastered,the guess who,0,3LQPTJEqOfljGBxmpgUnoC
451,(don't fear) the reaper,blue öyster cult,0,5QTxFnGygVM4jFQiBovmRo
452,heart of gold,neil young,0,1Q1b8eVkUPGlpSArl8JAVw
453,running on empty,jackson browne,0,6aqm56xP40foYBBtAWWrnY
454,sultans of swing,dire straits,0,6cr6UDpkjEaMQ80OjWqEBQ
455,dreams - 2004 remastered edition,fleetwood mac,0,0
456,we are the champions - remastered 2011,queen,0,7ccI9cStQbQdystvc6TvxD
457,you ain't seen nothing yet,bachman-turner overdrive,0,5imavlLO0xdUlvaLttuvD3
458,"another brick in the wall, pt. 1",pink floyd,0,7K6xMPtAjTuLPNlJMLf5bS
459,roundabout - remastered version,yes,0,0
