,Song,Artist,Billboard100,URI
115,Belong To U,Fancy Cars,0,6pG8mlZHcSt14eQCOQxA2N
116,Sunny Daze,Salaam Remi,0,3whp8PfpRw1xqzz7rbIzN4
117,"Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",N.O.R.E.,0,0
118,Island,Lil Eddie,0,4an3AHqtVPXx9fHdcvoyKE
119,Crazy In Love,Beyoncé,0,5IVuqXILoxVWvWEPm82Jxr
123,Michael Jackson x Mark Ronson: Diamonds are Invincible,Michael Jackson,0,7jRs0CvNctNBNH1roANQdY
125,Live Your Life (feat. Rihanna),T.I.,0,0
129,Love Never Felt so Good,Michael Jackson,0,48td6xvpokdYwvbl3JIiXP
132,Drops of Jupiter,Train,0,2hKdd3qO7cWr2Jo0Bcs0MA
136,Hey Ya! - Radio Mix / Club Mix,OutKast,0,0
137,TiK ToK,Kesha,0,0HPD5WQqrq7wPWR7P7Dw1i
138,Look At Me Now,Chris Brown,0,3hsmbFKT5Cujb5GQjqEU39
161,Oops!...I Did It Again,Britney Spears,0,6naxalmIoLFWR0siv8dnQQ
163,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,0,2Foc5Q5nqNiosCNqttzHof
165,"One, Two Step",Ciara,0,7uKcScNXuO3MWw6LowBjW1
181,Dirrty (feat. Redman),Christina Aguilera,0,59ZTxQo8rBycIXPLUIKvE2
186,"Independent Women, Pt. 1",Destiny's Child,0,0
188,Get The Party Started,P!nk,0,0
189,The Anthem,Good Charlotte,0,0BRHnOFm6sjxN1i9LJrUDu
191,The Way You Move (feat. Sleepy Brown) - Club Mix,OutKast,0,0
193,Over You,Daughtry,0,7mXmxXLAnsvXKt4Q37KoMI
197,Vivir Mi Vida,Marc Anthony,0,3QHMxEOAGD51PDlbFPHLyJ
198,La Vida Es Un Carnaval,Celia Cruz,0,1BwrMGGhPA6GarWIYaFrW8
199,Lambada - Original Version 1989,Kaoma,0,6xepovPqjvrkEw9Y5AMmTm
200,La Camisa Negra,Juanes,0,2EM9zpAc7PVeoAydmbfVIL
201,La Gota Fría,Carlos Vives,0,5ZaTqcL7zIreaVNeVy89Iu
202,Suavemente,Elvis Crespo,0,1YwPNemawMgGe6sF4U0FTE
203,Bailando - Spanish Version,Enrique Iglesias,0,32lm3769IRfcnrQV11LO4E
204,Danza Kuduro,Don Omar,0,2a1o6ZejUi8U3wzzOtCOYw
205,Conga,Miami Sound Machine,0,3FdHgoJbH3DXNtGLh56pFu
206,La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,Juan Luis Guerra 4.40,0,1GT0Q2ZTeKtIBueYKr4vhr
207,Guantanamera,Celia Cruz,0,7arYtARCpVmLPsB8Chua4A
208,El Matador,Los Fabulosos Cadillacs,0,4S0p4Z0KuVUWm2bxKoGPRJ
209,Amor Prohibido,Selena,0,1kCewNSs909Xj1naXr36X8
211,Obsesion,Aventura,0,65H6t1WQBim6q93yM8fEwn
212,Let's Get Loud,Jennifer Lopez,0,42nSaPdT6g3ZIMHmKLlP2p
213,Oye Como Va,Tito Puente,0,5eMg0Q1M1rO5BKAgJUmrdr
214,Despacito (Featuring Daddy Yankee),Luis Fonsi,0,0
215,Bamboleo,Gipsy Kings,0,4EveU9Zb50mjgi5avDNqlK
216,Pedro Navaja,Rubén Blades,0,3TfU1HNQzBR7Btx73qm29W
217,Gasolina,Daddy Yankee,0,6jEZLz3YpnEBRpVkv35AmP
218,Mambo No 5,Pérez Prado,0,6fJnlY8rYqC37J2u2OeEMf
219,De Música Ligera,Soda Stereo,0,2WD9ggmpZE7Wodh3qVVCgg
221,La Bamba,Los Lobos,0,6uU5OBhGUE1ngSKDj4wtoq
222,Querida,Juan Gabriel,0,7osHjFGYUmIMB6eAiU9HDs
223,Maria Maria - Radio Mix,Santana,0,0
224,La ingrata,Café Tacvba,0,19ScoKGqnfUggyqOVQjsoH
225,Corazón partio,Alejandro Sanz,0,0
227,Rebelión,Joe Arroyo,0,3v32VtMTRZbIQJUFsQpeJD
228,La Maza,Silvio Rodríguez,0,2a1x7Ln27cNtsgtL26mdwi
229,Amor Eterno,Rocío Dúrcal,0,3K3wpXrbZYkXMxiA9QJwV1
230,Besame Mucho,Consuelo Velázquez,0,5Vt9jqpVuWm30gUvunICh3
231,Mais Que Nada,Sergio Mendes & Brasil '66,0,6YTBfxkdGce9pLEy9jG9Jo
232,El Cantante,Héctor Lavoe,0,5Uve0jm1RgxKWzdSvncBDO
233,Chan Chan,Buena Vista Social Club,0,5sbw5zIz9ck2pOEDXUR0QU
234,Amigo,Roberto Carlos,0,4CKIoO64EM5M37TkshbaQE
235,The Girl From Ipanema - Stereo Version,Stan Getz,0,5D9Psd43c2cidUu6RdkCu2
236,Oye Mi Amor,Maná,0,5EJ2THuhAapEIeQOtXUQ0x
237,Latinoamérica,Calle 13,0,1xuYajTJZh8zZrPRmUaagf
238,"Soy un Truhán, Soy un Señor",Julio Iglesias,0,07nrFSbS6ht0jMNpTpMfsg
239,Mediterraneo,Joan Manuel Serrat,0,7Bewui7KtaMzROeteRitRz
240,Gracias a la Vida,Violeta Parra,0,5U7MyRNbuZrWkyAI4bm3Ja
241,La Cumparsita,Gerardo Matos Rodriguez,0,6tJ0zwyKkJ9pWXN0XWqLqY
242,Paloma negra,Lola Beltrán,0,7cOZAzuSGF7y4pNX35B7yq
243,El Rey,José Alfredo Jimenez,0,4ihZFukyNotzCUtxI4qpu8
244,Feliz Navidad,José Feliciano,0,0oPdaY4dXtc3ZsaG17V972
245,All Along the Watchtower,Jimi Hendrix,0,2aoo2jlRnM3A0NyLQqMN2f
246,My Generation - Stereo Version,The Who,0,4u9f8hqstB7iITDJNzKhQx
247,(I Can't Get No) Satisfaction,The Rolling Stones,0,2PzU4IB8Dr6mxV3lHuaG34
248,"Hello, I Love You",The Doors,0,3bWGaqVeYKMlLss40mPgNn
249,Whole Lotta Love,Led Zeppelin,0,0hCB0YR03f6AmQaHbwWDe8
250,Hey Jude - Remastered 2015,The Beatles,0,0aym2LBJBk9DAYuHHutrIl
251,White Room,Cream,0,3Xls4cNOwy01dtrNXb1inG
252,You Really Got Me - Mono Mix,The Kinks,0,29SyMC0plk6qw8NMF7lfRL
253,Surfin' U.S.A. - Remastered,The Beach Boys,0,0wz1LjDb9ZNEYwOmDJ3Q4b
254,"Oh, Pretty Woman",Roy Orbison,0,48i055G1OT5KxGGftwFxWy
255,Back In The U.S.S.R. - 2018 Mix,The Beatles,0,183Klch3PBWLz2S6zNUVxR
256,For What It's Worth,Buffalo Springfield,0,1qRA5BS78u3gME0loMl9AA
257,Fortunate Son,Creedence Clearwater Revival,0,4BP3uh0hFLFRb5cjsgLqDh
258,Born To Be Wild - Single Version,Steppenwolf,0,3lN8PP6R2IxbLP05QpYXng
259,House Of The Rising Sun,The Animals,0,7BY005dacJkbO6EPiOh2wb
260,Louie Louie,The Kingsmen,0,0iA3xXSkSCiJywKyo1UKjQ
261,I Heard It Through The Grapevine - Single Version (Mono),Marvin Gaye,0,0
262,Crimson And Clover - Single Version,Tommy James & The Shondells,0,1vXuYPpkLjn1v06E2EsWQY
263,Evil Ways,Santana,0,5tmrnhMxx39jnu3kjopMdP
264,Purple Haze,Jimi Hendrix,0,0wJoRiX5K5BxlqZTolB2LD
265,California Dreamin' - Single Version,The Mamas & The Papas,0,4s6LhHAV5SEsOV0lC2tjvJ
266,Like a Rolling Stone,Bob Dylan,0,3AhXZa8sUQht0UEdBJgpGc
267,Suite: Judy Blue Eyes - Remastered,"Crosby, Stills & Nash",0,0
268,Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,0,5qBqBdfTEIWJwAS0Jm2F5R
269,I Saw Her Standing There - Remastered 2009,The Beatles,0,3KiexfmhxHvG5IgAElmTkd
270,Light My Fire,The Doors,0,5uvosCdMlFdTXhoazkTI5R
271,Pinball Wizard,The Who,0,6LbbHFEajG9e4m0G3L47c4
272,The Sounds of Silence,Simon & Garfunkel,0,3CepTOU9Y7FezTt0CF3lCw
273,Green Onions,Booker T. & the M.G.'s,0,4fQMGlCawbTkH9yPPZ49kP
274,Sweet Caroline - Single Version,Neil Diamond,0,7waQASGjvaRBw6jyX3gVZ0
275,Good Lovin' - Single Version,The Young Rascals,0,0XnhQGfqfi5CnZXcONJuI5
276,The Twist,Chubby Checker,0,3ohLnESFgYACPMCkoTOzqE
277,Sunshine Of Your Love,Cream,0,6FRwDxXsvSasw0y2eDArsz
278,Hit the Road Jack,Ray Charles,0,2tu0NqOnkCXoWnk41kUD5V
279,Proud Mary,Creedence Clearwater Revival,0,2EZc13S7YRi6bTS3SKteRN
280,Dazed And Confused,Led Zeppelin,0,6hu1f1cXSw7OAqhpSQ2zDy
281,Summertime Blues,Blue Cheer,0,6iWaf45YIhj0YT8GFGxsw0
282,I Want To Hold Your Hand - Remastered 2015,The Beatles,0,4pbG9SUmWIvsROVLF0zF9s
283,Runaround Sue,Dion,0,1DndHckdH9m5rp6gYP086b
284,All Day and All of the Night - 2014 Remastered Version,The Kinks,0,4rXSVEYOuJNicjAm3NiYK6
285,River Deep - Mountain High,Ike & Tina Turner,0,19jo0UT2vqD4pNVfIqTy4R
286,Summer in the City - Remastered,The Lovin' Spoonful,0,7AzFID6u1b3zIWbd9pb8Dk
287,Jumpin' Jack Flash - Mono / Remastered,The Rolling Stones,0,0
288,Foxey Lady,Jimi Hendrix,0,23MrkN7g6Q5U7GLIxNHN1B
289,Somebody to Love,Jefferson Airplane,0,4uGIJG1jYFonGc4LGp5uQL
290,Time Has Come Today,The Chambers Brothers,0,5qA1ZrjjVLh1cL9GZOFdNm
291,Heart Full of Soul,The Yardbirds,0,0AiuEo7FCxP2y2WTOpLPe5
292,Do You Believe in Magic?,The Lovin' Spoonful,0,1udKn1oNKYQSQ9OmiIWCMu
293,"Paint It, Black - Mono",The Rolling Stones,0,1RJeiAIwR9pZBgJA8ndZLL
294,Good Vibrations - Remastered,The Beach Boys,0,5t9KYe0Fhd5cW6UYT4qP8f
295,Psychotic Reaction,Count Five,0,5JcaA4A9ZoXthwEnxOxWvP
296,Yesterday - Remastered 2009,The Beatles,0,3BQHpFgAp4l80e1XslIjNI
297,Nights In White Satin - Single Version / Mono Mix,The Moody Blues,0,6L5BZEcZmD6RBJnimzlyKr
298,Space Oddity - 2015 Remastered Version,David Bowie,0,0
299,Magic Carpet Ride,Steppenwolf,0,4c4jJJoaiY21t2TyRZgdWS
300,Needles and Pins - Mono,The Searchers,0,0zABw1PtGYHsU4VDpDZsra
301,The Weight - Remastered,The Band,0,0P7DoyGrr4Wp9w5TotEtUC
302,Bring It On Home to Me,Sam Cooke,0,0WVTQp3SOCuMr08jh1jweV
303,Bad Moon Rising,Creedence Clearwater Revival,0,20OFwXhEXf12DzwXmaV7fj
304,Crying,Roy Orbison,0,6eLL7QTdMWdhhG4i3jHDR9
305,Revolution - Remastered,The Beatles,0,3UDmHZcBTQp8Iu8droNtUl
306,Shop Around,The Miracles,0,47IRIQxGDe2Sc6F4pe2FMf
307,I Fought The Law,The Bobby Fuller Four,0,7lSDCrF11sdTVfjbAQVZE8
308,The Times They Are A-Changin',Bob Dylan,0,52vA3CYKZqZVdQnzRrdZt6
309,Honky Tonk Women,The Rolling Stones,0,3fnPv1LRMxENr63afVhaz1
310,The End - Remastered,The Doors,0,5aHHf6jrqDRb1fcBmue2kn
311,She Loves You - Mono / Remastered,The Beatles,0,6nEkxYIEnrbYH7h1hJ8Xn6
313,Brown Eyed Girl,Van Morrison,0,3yrSvpt2l1xhsV9Em88Pul
314,Gimme Shelter,The Rolling Stones,0,6H3kDe7CGoWYBabAeVWGiD
315,Touch Me,The Doors,0,4BVE5tIIpYabZcYCbephNW
316,Surf City - Remastered 1990 / Stereo Remix,Jan & Dean,0,4ZzXPeOfMXk0iKNQGdlzDq
317,White Rabbit,Jefferson Airplane,0,4vpeKl0vMGdAXpZiQB2Dtd
318,Green River,Creedence Clearwater Revival,0,11DjZQEZ69EXLo77HVj6yW
319,I Get Around (Mono) - Mono,The Beach Boys,0,0
320,Mr. Tambourine Man,The Byrds,0,2HCaIYjkvWSZzaSKUoOh3d
321,With A Little Help From My Friends - Remastered 2009,The Beatles,0,2RnPATK99oGOZygnD2GTO6
322,Hush - 2014 Remastered Version,Deep Purple,0,0
323,For Your Love,The Yardbirds,0,5qM925z83TMCtj6h0qooVi
324,Street Fighting Man,The Rolling Stones,0,7EXgO1bRnEArE58rtrgMWB
325,Blowin' In the Wind,Bob Dylan,0,18GiV1BaXzPVYpp9rmOg0E
326,In My Room - Remastered,The Beach Boys,0,62fX8EW16l8St2yL8rMer9
327,I'm A Man,The Spencer Davis Group,0,1oXq63OUf43LDnNPVtfvX8
328,Gloria - Stereo Version,Them,0,1DKyFVzIh1oa1fFnEmTkIl
329,Itchycoo Park,Small Faces,0,5H0laZ62yDUPuKvHef8niK
330,Wild Thing,The Troggs,0,7jGzYUZ2Bgg8BDfYlQRfn8
331,Care Of Cell 44,The Zombies,0,5QXqz1KDz8Z8DmfQoxWmmy
332,See Emily Play - 2016 Remastered Version,Pink Floyd,0,5JubSv0sa8CKjAslCSH27S
333,Alone Again Or - 2015 Remastered Version,Love,0,1XuccRABkfUVB4FjSVhjL1
334,Psychotic Reaction - Rarities Version,Count Five,0,77oq56JTlEBzAH7KNZHvx1
335,Slip Inside This House - Stereo LP Version,The 13th Floor Elevators,0,4GVRHAwABAV0v63YX9Go0p
336,I Had Too Much To Dream (Last Night),The Electric Prunes,0,5YgCmkSdGukXqK3fJlX4pQ
337,96 Tears,? & The Mysterians,0,4PEeZ2U4UfP2Jo8EtIOjus
338,Have Love Will Travel,The Sonics,0,2uXkW8uJcOIhlbUatEPLPs
339,Kick out the Jams,MC5,0,5mSZLysuAtdNA21mbOm0sx
340,I Hate You,The Monks,0,3XrPNRdFbGZESTGPte23dD
341,I Wanna Be Your Dog,The Stooges,0,672N8DGGTOLCOgWe0koX5g
342,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground,0,7hrJgdNzMHlKxEorMLrPcD
343,Eight Miles High,The Byrds,0,2BGNomqCxEDcXyxf8bg27k
344,Wipe Out,The Surfaris,0,4anUinKv803lyDD1vaSXhU
348,Lean on Me,Bill Withers,0,3M8FzayQWtkvOhqMn2V4T2
349,Hotel California - Remastered,Eagles,0,0
350,Fast Car,Tracy Chapman,0,2M9ro2krNb7nr7HSprkEgo
351,You're So Vain,Carly Simon,0,2DnJjbjNTV9Nd5NOa1KGba
352,Dust in the Wind,Kansas,0,6zeE5tKyr8Nu882DQhhSQI
353,Ooh La La,Faces,0,4lJ6YVXQ0jUk5ILu0PSrA4
354,You've Got A Friend,James Taylor,0,69l8nFPu0LWmnoJX7YSVYc
355,Redemption Song,Bob Marley & The Wailers,0,26PwuMotZqcczKLHi4Htz3
356,Crazy Love,Van Morrison,0,2hjAc6x8EoSLhGxRNg8KEw
357,I'm on Fire,Bruce Springsteen,0,3PzsbWSQdLCKDLxn7YZfkM
358,Heart Of Gold,Neil Young,0,1Q1b8eVkUPGlpSArl8JAVw
359,Wildflowers - Remastered,Dolly Parton,0,0
360,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,0,3gdewACMIVMEWVbyb8O9sY
361,In The Air Tonight - 2015 Remastered,Phil Collins,0,18AXbzPzBS8Y3AkgSxzJPb
362,Wicked Game - Remastered,Chris Isaak,0,0
363,Hallelujah,Leonard Cohen,0,7yzbimr8WVyAtBX3Eg6UL9
364,My Sweet Lord,George Harrison,0,0qdQUeKVyevrbKhAo0ibxS
365,A Horse with No Name,America,0,54eZmuggBFJbV7k248bTTt
366,Jolene,Dolly Parton,0,2SpEHTbUuebeLkgs9QB7Ue
367,Let It Be - Remastered 2009,The Beatles,0,7iN1s7xHE4ifF5povM6A48
368,Maggie May,Rod Stewart,0,6rovOdp3HgK1DeAMYDzoA7
369,Me and Julio Down by the Schoolyard,Paul Simon,0,6vxHp3CDNo0afgKGp2yi1E
370,Where You Lead,Carole King,0,0APt4t1Dab58sYmGQ4jgij
371,Me and Bobby McGee,Janis Joplin,0,1IqFh00G2kvvMm8pRMpehA
372,If You Could Read My Mind,Gordon Lightfoot,0,57ct8jKi6trntXiRV0NnXi
373,Pink Moon,Nick Drake,0,16qzGrIMWoxerw2gnW0zuv
374,Walkin' Back to Georgia,Jim Croce,0,0
375,Going To California,Led Zeppelin,0,70gbuMqwNBE2Y5rkQJE9By
376,"My My, Hey Hey (Out of the Blue)",Neil Young,0,6VltRkmJbCTqgKrTHk4Ulw
377,I Walk the Line,Johnny Cash,0,7hxZF4jETnE5Q75rKQnMjE
378,Across The Universe - Remastered 2009,The Beatles,0,4dkoqJrP0L8FXftrMZongF
379,Wild World,Yusuf / Cat Stevens,0,6Xz7FeyE8HTP90HecgHV57
380,California,Joni Mitchell,0,5eM6Rrk8rwLpUhrh7Kk5R1
381,"Dreams (Sessions, Roughs & Outtakes) - 2004 Remastered Edition",Fleetwood Mac,0,0
382,Tangled up in Blue,Bob Dylan,0,6Vcwr9tb3ZLO63F8DL8cqu
383,Imagine - Remastered 2010,John Lennon,0,0
384,Maybe I’m Amazed - Remastered 2011,Paul McCartney,0,1Qa0Y05al633fG8f9Peytc
386,Easy,Commodores,0,1JQ6Xm1JrvHfvAqhl5pwaA
387,Up Where We Belong,Joe Cocker,0,0Co8hKbjUy273NrGliGdWZ
388,Life On Mars? - 2015 Remastered Version,David Bowie,0,0
389,Personal Jesus - Acoustic Version,Depeche Mode,0,7JbHx1w8yllNESuyp9SYv3
390,Wuthering Heights,Kate Bush,0,5YSI1311X8t31PBjkBG4CZ
391,Stuck In The Middle With You - Remastered,Stealers Wheel,0,4eZw1gC3TAus5bZCKi3l5j
392,Just The Two Of Us (feat. Bill Withers),"Grover Washington, Jr.",0,1ko2lVN0vKGUl9zrU0qSlT
393,(You Make Me Feel Like) A Natural Woman,Carole King,0,0LXljhKMUgoLv8tLwZ1hmf
394,Cecilia,Simon & Garfunkel,0,6QhXQOpyYvbpdbyjgAqKdY
395,Our House,"Crosby, Stills, Nash & Young",0,0
396,And It Stoned Me,Van Morrison,0,3n5iUh2Z6P7cnWins22W0F
397,Famous Blue Raincoat,Leonard Cohen,0,77K5TB5KZmDZCoJCdd1NvE
398,All Things Must Pass,George Harrison,0,6QLFNz62dpOgQTloWuUbNh
399,Stand By Me - Remastered,John Lennon,0,3ntrdR24dLkKrzSGRv1FlH
401,Solsbury Hill,Peter Gabriel,0,1CM1wOqD2AIjt2MWd31LV2
402,Boulder To Birmingham - Remastered,Emmylou Harris,0,05XNDab0Lhitzqk7tRpOnY
403,Something On Your Mind,Karen Dalton,0,6Vz2IQv3AYoznh4tjsrRPo
404,You're The Inspiration - 2006 Remastered Version,Chicago,0,0
405,Ripple,Grateful Dead,0,1OE5l6sedVcIFELMuxQOPI
406,You Are So Beautiful,Joe Cocker,0,1gJOqXpRjz9GeEEwQpcujK
407,Blue Bayou,Linda Ronstadt,0,3zxklD2EGecZre9MjEEvIU
408,Bohemian Rhapsody - Remastered 2011,Queen,0,7tFiyTwD0nx5a1eklYtX2J
409,Stairway To Heaven,Led Zeppelin,0,5CQ30WqJwcep0pYcV4AMNc
410,London Calling - Remastered,The Clash,0,5jzma6gCzYtKB1DbEwFZKH
411,Riders On The Storm,The Doors,0,14XWXWv5FoCbFzLksawpEe
412,Rock And Roll All Nite,KISS,0,6KTv0Z8BmVqM7DPxbGzpVC
413,Who Are You,The Who,0,23IJ5wLRhEZ9DOuia5mPiZ
414,Changes - 2015 Remastered Version,David Bowie,0,0
415,Who'll Stop The Rain,Creedence Clearwater Revival,0,3Bh6uInhcVBVvLraGZdkKD
416,Wild Horses,The Rolling Stones,0,52dm9op3rbfAkc1LGXgipW
417,Dream On,Aerosmith,0,5MxNLUsfh7uzROypsoO5qe
418,Roxanne - Remastered 2003,The Police,0,78AgGMIJ0wdL63wBDQCOGA
419,Highway to Hell,AC/DC,0,0
420,Bang a Gong (Get It On) - Remastered Version,T. Rex,0,0
421,Smoke On the Water,Deep Purple,0,5SAUIWdZ04OxYfJFDchC7S
